"AN";"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr"
2001;9;21;11.5;23.4;2.4;15.26;1;82
2001;9;22;15.6;17.3;0.1;1.24;47.4;87
2001;9;23;15.2;23.9;2;10.4;9;86
2001;9;24;14;22.2;2;9.73;0.2;45
2001;9;25;8.7;24.4;2.8;16.97;0;65
2001;9;26;9.9;23.1;2.6;17.41;0;45
2001;9;27;8.2;24.1;2.3;17.13;0;50
2001;9;28;14.8;21.1;1.5;8.26;5.6;49
2001;9;29;14.1;15.1;0;0.74;72.6;99
2001;9;30;11.6;22.8;2;14.5;0;77
2001;10;1;12.1;20.4;0.4;3.21;0.2;53
2001;10;2;17.9;22.9;1.2;5.71;0.8;55
2001;10;3;18.8;21.2;1;3.14;17.4;59
2001;10;4;11.8;25.8;2.5;17.97;0;79
2001;10;5;11.4;17.5;0.1;1.56;1.6;70
2001;10;6;16.5;20.7;0.6;2.93;23.2;75
2001;10;7;15.9;24.3;2.2;14.47;0;53
2001;10;8;13.5;23.9;1.9;12.62;0;44
2001;10;9;12.3;21.5;1;4.29;80;57
2001;10;10;11.5;24.4;2;15.09;0.2;66
2001;10;11;10.9;26.4;2;14.83;0.2;84
2001;10;12;12.2;26;2;14.31;0.2;66
2001;10;13;12.6;25.5;1.9;12.9;0.8;48
2001;10;14;13.7;26.4;2.1;13.99;0;94
2001;10;15;13.7;23.4;1.3;7.93;0.2;80
2001;10;16;11.8;26.2;2;14.68;0;83
2001;10;17;12.1;21.2;0.6;3.96;4.8;82
2001;10;18;17.3;22;1.1;4.5;13.8;75
2001;10;19;17.2;21.7;0.8;3.5;13.4;48
2001;10;20;18.8;21.9;1.3;4.14;5.6;58
2001;10;21;9.8;24.6;1.7;13.9;0;63
2001;10;22;9;23.1;1.5;13.63;0.2;90
2001;10;23;11.2;22.5;1.2;6.72;0;44
2001;10;24;7.6;23.5;1.5;13.64;0;49
2001;10;25;8.1;24.6;1.4;13.15;0;96
2001;10;26;7.8;20.8;0.9;8.65;0.4;70
2001;10;27;13.2;20.3;0.6;3.93;0.4;54
2001;10;28;15.3;20.5;0.9;4.27;0.2;46
2001;10;29;11.1;24.8;1.2;11.72;0;79
2001;10;30;11.7;24.5;1.1;12.07;0;53
2001;10;31;12.5;21;0.6;6.41;0;84
2001;11;1;10;19;1.4;11.05;0;93
2001;11;2;5;19.1;0.7;11.59;0;68
2001;11;3;4;20;0.6;10.61;0;43
2001;11;4;3.9;18.6;0.6;10.23;0.2;72
2001;11;5;6.8;18.6;0.8;6.58;0;99
2001;11;6;3;18.4;0.8;11.1;0;79
2001;11;7;5.2;18.8;1;10.53;0;85
2001;11;8;13;17.6;2;8.84;0.2;42
2001;11;9;1.4;12.7;0.9;11.14;0;97
2001;11;10;1.9;11.7;1;8.47;0;51
2001;11;11;5.3;10.2;0.6;1.05;8.8;87
2001;11;12;1.8;13;0.5;7.51;0;62
2001;11;13;4.5;18.8;0.7;10.67;0;59
2001;11;14;2.9;11.8;0.7;10.32;0.2;80
2001;11;15;5.7;11.5;1.3;3.26;1.4;41
2001;11;16;5.6;15.4;0.6;8.05;3;42
2001;11;17;5.3;11.9;0.4;1.88;15;62
2001;11;18;8.2;11.6;0.2;2.05;1.2;77
2001;11;19;6.6;16.6;0.6;7.34;0;50
2001;11;20;1.1;12.7;0.2;9.21;0;81
2001;11;21;-1.8;13.6;0.3;9.23;0.2;100
2001;11;22;-2.9;13;0.3;9.82;0.2;40
2001;11;23;1.9;14.4;0.9;9.05;0;85
2001;11;24;-0.3;14.3;0.4;8.19;0;48
2001;11;25;0.6;18.1;0.3;8.46;0;97
2001;11;26;0.3;15.9;0.2;6.94;0.2;55
2001;11;27;4.8;13.7;0.6;5.28;0.2;63
2001;11;28;2.2;13.9;0.6;5.54;0;43
2001;11;29;2.6;16;0.3;8.27;3.8;94
2001;11;30;4.7;17;0.3;3.5;0;76
2001;12;1;6.1;18.9;0.2;7.36;0;87
2001;12;2;6;14.1;0.2;1.78;1;86
2001;12;3;8.5;16.2;0.2;6.01;0;44
2001;12;4;5.2;16.6;0.3;6.02;0;91
2001;12;5;8.7;18.7;0.4;6.89;0;57
2001;12;6;5.6;22.3;0.4;7.92;0;42
2001;12;7;1;14.2;0.2;7.96;0;69
2001;12;8;3.7;13.5;0.3;7.38;0;42
2001;12;9;0.5;10.4;0.1;5.57;0;45
2001;12;10;0.8;12.6;0.1;7.3;0;65
2001;12;11;-3.3;10.5;0;7.78;0.2;53
2001;12;12;-3.5;11.6;0;6.94;0.2;92
2001;12;13;-3.2;11.1;0;7.85;0;87
2001;12;14;-4.1;-0.1;0.5;1.67;0.4;73
2001;12;15;-2;2.4;0.6;3.1;0;72
2001;12;16;-6.9;5.7;0;7.4;0;89
2001;12;17;-7.7;6.9;0;6.68;0;76
2001;12;18;-6.3;7.7;0;7.24;0;95
2001;12;19;-5.5;7.7;0.1;5.99;0.2;65
2001;12;20;-6.5;9.2;0;8.17;0;86
2001;12;21;-9.1;8.5;0;8.63;0.2;75
2001;12;22;-7.6;11.7;0.1;7.84;0;65
2001;12;23;-2.8;6.3;0.3;5.06;0;87
2001;12;24;-9.6;7.6;0;8.6;0;60
2001;12;25;-8.5;11.2;0.2;7.83;0;74
2001;12;26;-3;8.7;0.4;7.81;0;84
2001;12;27;-3.6;10.6;0.2;7.43;0;75
2001;12;28;2.5;13.5;0.5;3.38;0;98
2001;12;29;4.7;14.9;0.4;6.86;0;87
2001;12;30;2.2;14.8;0.4;5.18;1.2;68
2001;12;31;2;10.5;0.3;8;0;73
