"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr";"dh"
9;23;23.5;30.3;0;24.07;0;0;3.4
9;24;23.2;29.9;0;21.57;0;0;9.9
9;25;23.7;29.8;0;16.12;0;0;8.4
9;26;22.9;31.8;0;17.32;0;0;10.7
9;27;23.1;30.7;0;21.33;0;0;13.6
9;28;22.4;29.8;0;19.69;0;0;11.9
9;29;22.6;29.5;0;16.85;0;0;11.4
9;30;23;28.8;0;10.37;0;0;13.8
10;1;23.3;29.9;0;13.47;0;0;13.4
10;2;23.2;30;0;13.93;0;0;11.2
10;3;22.7;28.8;0;8.58;0;0;3.8
10;4;23.3;25.2;0;3.36;0;0;20
10;5;23;29.3;0;9.04;0;0;3
10;6;22.7;29.3;0;12.14;0;0;11.6
10;7;22.3;32.5;0;19.91;0;0;8.9
10;8;21.9;30.7;0;22.69;0;0;0
10;9;21.7;30.9;0;18.06;0;0;6.2
10;10;23.2;31.2;0;19.35;0;0;9.7
10;11;22.4;30.8;0;22.17;0;0;4.8
10;12;22.5;30.8;0;22.16;0;0;10.6
10;13;22;30;0;21.6;0;0;10.6
10;14;22.8;29.8;0;20.67;0;0;12.6
10;15;23.2;29.7;0;16.65;0;0;12.5
10;16;22.5;29.7;0;21.5;0;0;6.7
10;17;21.4;30.3;0;17.33;0;0;4.1
10;18;22;28.9;0;13.2;0;0;16.4
10;19;22;29.4;0;22.81;0;0;10.1
10;20;20.9;29.9;0;22.59;0;0;9.7
10;21;21.6;29.9;0;21.99;0;0;4.5
10;22;22.7;29.9;0;19.66;0;0;8.4
10;23;22.8;29.1;0;12.87;0;0;14.1
10;24;22;29.9;0;16.56;0;0;13.9
10;25;21.9;29.7;0;12.53;0;0;13.9
10;26;22.4;30.2;0;16.34;0;0;15.1
10;27;22.4;29.8;0;17.2;0;0;11.6
10;28;22.2;29.5;0;18.92;0;0;9.5
10;29;22.4;29.3;0;14.42;0;0;12.1
10;30;23.2;27.6;0;8.63;0;0;12.4
10;31;21.4;26.4;0;3.36;0;0;23.2
11;1;24.1;28.5;0;10.11;0;0;10.3
11;2;23.6;28.5;0;7.23;0;0;19.8
11;3;22;29.1;0;13.58;0;0;11.8
11;4;22.4;26.7;0;5.27;0;0;20.2
11;5;23.6;28.9;0;13.58;0;0;6.4
11;6;23.5;29;0;11.87;0;0;14.9
11;7;21.1;29.6;0;16.4;0;0;5.5
11;8;22;32.6;0;19.59;0;0;1.5
11;9;20.9;30.4;0;20.19;0;0;0
11;10;21.1;30.4;0;20.7;0;0;2.1
11;11;20.9;30.2;0;19.07;0;0;2.5
11;12;21.1;30.2;0;14.72;0;0;3.5
11;13;21.5;30.1;0;18.15;0;0;1.5
11;14;20.7;29.4;0;15.18;0;0;4.9
11;15;22.5;28.8;0;7.66;0;0;14.7
11;16;22.1;29.2;0;11.82;0;0;7.1
11;17;22.5;27.5;0;4.82;0;0;7.8
11;18;23;26.3;0;6.55;0;0;18.7
11;19;22.4;27.7;0;7.86;0;0;10
11;20;20.9;28.3;0;10.97;0;0;11.5
11;21;19.6;28.7;0;13.39;0;0;15.7
11;22;21;29.1;0;13.85;0;0;14
11;23;21.4;27.7;0;9.83;0;0;10.9
11;24;21.3;28.6;0;9.97;0;0;15.5
11;25;21.5;27.7;0;6.44;0;0;21.2
11;26;21.3;28.5;0;11.22;0;0;12.2
11;27;22.8;27.9;0;9.04;0;0;17.3
11;28;21.7;27.3;0;8.56;0;0;16
11;29;20.7;29;0;13.53;0;0;15.4
11;30;19.3;27.3;0;7.61;0;0;14.5
12;1;18.1;28.5;0;15.1;0;0;14.5
12;2;20.2;27.6;0;14.91;0;0;8.6
12;3;19.2;27.8;0;14.33;0;0;0
12;4;18.8;28;0;15.36;0;0;0.3
12;5;18.9;26.9;0;8.83;0;0;4.4
12;6;21.7;27.7;0;10.13;0;0;19.3
12;7;22.6;24.2;0;2.23;0;0;24
12;8;20.7;28.7;0;11.37;0;0;18.8
12;9;22.8;28;0;14.24;0;0;9.7
12;10;22.1;27.7;0;10.65;0;0;12.2
12;11;20.4;27.8;0;13.34;0;0;19.8
12;12;19.6;28.2;0;12.4;0;0;15.5
12;13;20.7;28.8;0;11.87;0;0;14.3
12;14;21.3;28.6;0;13.17;0;0;16.6
12;15;20;28.9;0;15.96;0;0;2.2
12;16;20.7;28.3;0;8.33;0;0;15.2
12;17;21.1;28.2;0;11.06;0;0;9.8
12;18;21.7;25.3;0;5.11;0;0;21.9
12;19;20.5;27.6;0;11.28;0;0;17.9
12;20;21;28.8;0;15.99;0;0;8.6
12;21;21.4;29.4;0;16.88;0;0;8.2
12;22;21.4;26.9;0;5.04;0;0;15.1
12;23;21.8;25.8;0;6.35;0;0;21.2
12;24;20.6;28.7;0;10.22;0;0;19.4
12;25;22.1;25.9;0;4.67;0;0;23.2
12;26;22.2;26.7;0;6.73;0;0;19.1
12;27;21.5;28.2;0;16.25;0;0;13.7
12;28;21;28.8;0;16.32;0;0;12.7
12;29;21.2;28.1;0;15.37;0;0;13.9
12;30;22.1;27.7;0;9.57;0;0;20.2
12;31;21.8;25.6;0;6.7;0;0;9.3
